Day,Dept,Section,Time,Teacher,Course,Room
Sun,ME,ME-1A,11:40-12:30,PM+UK,ME-162,WORKSHOP
Sun,ME,ME-1A,12:35-1:25,PM+UK,ME-162,WORKSHOP
Sun,ME,ME-1A,1:40-2:30,PM+UK,ME-162,WORKSHOP
Sun,ENG,ENG 1A,8:30-9:20,DMO,ENG 1107,CSE L2
Sun,ENG,ENG 1A,9:25-10:15,DMO,ENG 1107,CSE L2
Sun,ENG,ENG 1A,10:20-11:10,DMO,ENG 1107,CSE L2
Sun,ENG,ENG 1A,11:40-12:30,DMO,ENG 1101,403
Sun,ENG,ENG 1A,12:35-1:25,SSI,GED 1105,403
Sun,DBA,DBA 1A,8:30-9:20,JA,BBA- 1101,R-304
Sun,DBA,DBA 1A,9:25-10:15,SHG,BBA-1104,R-304
Sun,DBA,DBA 1A,10:20-11:10,SHG,BBA- 1103,R-304
Sun,DBA,DBA 1A,11:40-12:30,MWU,BBA-1102,R-404
Mon,CSE,CSE 4A,8:30-9:20,SNH,CSE 219,"CSE Lab
2"
Mon,CSE,CSE 4A,9:25-10:15,MRR,CSE-215,CSE Lab 2
Mon,CSE,CSE 4A,10:20-11:10,MRR,CSE-215,CSE Lab 2
Mon,CSE,CSE 4A,11:40-12:30,PK,"MATH
207",302
Mon,CSE,CSE 4A,12:35-1:25,PK,MATH 207,302
Mon,CSE,CSE 4A,1:40-2:30,ZT,EEE 279,302
Mon,CSE,CSE 3A,8:30-9:20,ABA,CSE 217,303
Mon,CSE,CSE 3A,9:25-10:15,SNH,CSE 205,303
Mon,CSE,CSE 3A,10:20-11:10,MMHK,CSE-203,303
Mon,CSE,CSE 3A,11:40-12:30,BCG,EEE 269,303
Mon,CSE,CSE 3A,12:35-1:25,NR,EEE 269,303
Mon,CSE,CSE 3A,1:40-2:30,PK,MATH 205,303
Mon,CSE,CSE 2A,8:30-9:20,PK,"MATH
105",402
Mon,CSE,CSE 2A,9:25-10:15,AR,CSE-103,402
Mon,CSE,CSE 2A,10:20-11:10,AR,CSE-103,404
Mon,CSE,CSE 2A,11:40-12:30,MMHK,CSE-106,CSE Lab 2
Mon,CSE,CSE 2A,12:35-1:25,MMHK,CSE-106,CSE Lab 2
Mon,CSE,CSE 2A,1:40-2:30,MMHK,CSE-106,CSE Lab 2
Mon,CSE,"CSE 1A
(Even)",8:30-9:20,ZT,EEE 163,302
Mon,CSE,"CSE 1A
(Even)",9:25-10:15,MWU,MATH 101,302
Mon,CSE,"CSE 1A
(Even)",10:20-11:10,MA,CHEM 101,302
Mon,CSE,"CSE 1A
(Even)",11:40-12:30,MM,Phy 102,Phy Lab
Mon,CSE,"CSE 1A
(Even)",12:35-1:25,MM,Phy 102,Phy Lab
Mon,CSE,"CSE 1A
(Even)",1:40-2:30,MM,Phy 102,Phy Lab
Mon,CSE,"CSE 1A
(Odd)",11:40-12:30,MA,"CHEM
102",CHEM Lab
Mon,CSE,"CSE 1A
(Odd)",12:35-1:25,MA,CHEM 102,Chem Lab
Mon,CSE,"CSE 1A
(Odd)",1:40-2:30,MA,CHEM 102,Chem Lab
